"Function","StatementID","Filename","Suspiciousness","Rank","StatementCount","CaseApplication"
"Ample","S9","edu.allegheny.listswap.CSVListIO.java","0.125","26","39","Listswap"
"Ample","S10","edu.allegheny.listswap.CSVListIO.java","0.125","27","39","Listswap"
"Ample","S11","edu.allegheny.listswap.CSVListIO.java","0.125","28","39","Listswap"
"Ample","S14","edu.allegheny.listswap.CSVListIO.java","0.125","29","39","Listswap"
"Ample","S15","edu.allegheny.listswap.CSVListIO.java","0.125","30","39","Listswap"
"Ample","S16","edu.allegheny.listswap.CSVListIO.java","0.125","31","39","Listswap"
"Ample","S17","edu.allegheny.listswap.CSVListIO.java","0.125","32","39","Listswap"
"Ample","S19","edu.allegheny.listswap.CSVListIO.java","0.125","33","39","Listswap"
"Ample","S21","edu.allegheny.listswap.CSVListIO.java","0.125","34","39","Listswap"
"Ample","S22","edu.allegheny.listswap.CSVListIO.java","0.125","35","39","Listswap"
"Ample","S23","edu.allegheny.listswap.CSVListIO.java","0.125","36","39","Listswap"
"Ample","S24","edu.allegheny.listswap.CSVListIO.java","0.125","37","39","Listswap"
"Ample","S5","edu.allegheny.listswap.CSVListIO.java","0.0","38","39","Listswap"
"Ample","S7","edu.allegheny.listswap.CSVListIO.java","0.0","39","39","Listswap"
"Ochiai","S1","edu.allegheny.listswap.ListSwapGenerator.java","1.0","1","39","Listswap"
"Ochiai","S4","edu.allegheny.listswap.ListSwapGenerator.java","1.0","2","39","Listswap"
"Ochiai","S5","edu.allegheny.listswap.ListSwapGenerator.java","1.0","3","39","Listswap"
"Ochiai","S6","edu.allegheny.listswap.ListSwapGenerator.java","1.0","4","39","Listswap"
"Ochiai","S7","edu.allegheny.listswap.ListSwapGenerator.java","1.0","5","39","Listswap"
"Ochiai","S8","edu.allegheny.listswap.ListSwapGenerator.java","1.0","6","39","Listswap"
"Ochiai","S9","edu.allegheny.listswap.ListSwapGenerator.java","1.0","7","39","Listswap"
"Ochiai","S10","edu.allegheny.listswap.ListSwapGenerator.java","1.0","8","39","Listswap"
"Ochiai","S11","edu.allegheny.listswap.ListSwapGenerator.java","1.0","9","39","Listswap"
"Ochiai","S13","edu.allegheny.listswap.ListSwapGenerator.java","1.0","10","39","Listswap"
"Ochiai","S15","edu.allegheny.listswap.ListSwapGenerator.java","1.0","11","39","Listswap"
"Ochiai","S16","edu.allegheny.listswap.ListSwapGenerator.java","1.0","12","39","Listswap"
"Ochiai","S1","edu.allegheny.listswap.Fish.java","0.2","13","39","Listswap"
"Ochiai","S2","edu.allegheny.listswap.Fish.java","0.2","14","39","Listswap"
"Ochiai","S3","edu.allegheny.listswap.Fish.java","0.2","15","39","Listswap"
"Ochiai","S4","edu.allegheny.listswap.Fish.java","0.2","16","39","Listswap"
"Ochiai","S1","edu.allegheny.listswap.Bear.java","0.2","17","39","Listswap"
"Ochiai","S2","edu.allegheny.listswap.Bear.java","0.2","18","39","Listswap"
"Ochiai","S3","edu.allegheny.listswap.Bear.java","0.2","19","39","Listswap"
"Ochiai","S4","edu.allegheny.listswap.Bear.java","0.2","20","39","Listswap"
"Ochiai","S2","edu.allegheny.listswap.CSVListIO.java","0.0","21","39","Listswap"
"Ochiai","S4","edu.allegheny.listswap.CSVListIO.java","0.0","22","39","Listswap"
"Ochiai","S5","edu.allegheny.listswap.CSVListIO.java","0.0","23","39","Listswap"
"Ochiai","S7","edu.allegheny.listswap.CSVListIO.java","0.0","24","39","Listswap"
"Ochiai","S8","edu.allegheny.listswap.CSVListIO.java","0.0","25","39","Listswap"
"Ochiai","S9","edu.allegheny.listswap.CSVListIO.java","0.0","26","39","Listswap"
"Ochiai","S10","edu.allegheny.listswap.CSVListIO.java","0.0","27","39","Listswap"
"Ochiai","S11","edu.allegheny.listswap.CSVListIO.java","0.0","28","39","Listswap"
